income,credit_score,debt_to_income,employment_duration,housing_status,loan_amount,is_default
49722,549,0.5803394189790293,12.22,Rent,18771.19,0
45670,745,0.5144072093558999,0.92,Own,17672.85,0
54840,577,0.5560373805125682,5.71,Mortgage,15188.93,0
37591,411,0.29359285630557297,1.91,Mortgage,19516.78,0
57790,772,0.19860099942551665,9.05,Rent,20972.22,0
72991,691,0.40323184258778244,6.6,Own,13458.4,0
48368,442,0.4706255853582434,1.11,Rent,17790.93,0
56025,331,0.16543053316233028,13.96,Own,16920.02,0
60352,480,0.498810757342267,5.75,Own,19031.63,0
43981,815,0.20429666000627897,14.84,Own,16637.95,0
53361,568,0.34583864645423,1.13,Own,16320.4,0
50188,535,0.5282412249390764,10.19,Own,11978.04,0
51465,576,0.19671225552134627,5.51,Own,16028.2,0
38404,574,0.22094232399139377,4.02,Mortgage,13301.37,0
50367,385,0.13138557824959576,8.59,Mortgage,9654.88,0
57469,362,0.17330705589156523,5.01,Mortgage,16499.95,0
71767,703,0.17326290989068435,5.54,Mortgage,9887.56,0
64389,491,0.20171375107706876,1.46,Own,14784.9,0
82297,592,0.24310019853249196,8.49,Mortgage,13168.53,0
38489,330,0.5074916822392704,5.25,Own,12188.22,1
63084,629,0.5578819320905587,9.3,Rent,22026.64,0
52750,406,0.30314030461447516,2.17,Rent,23191.43,0
82847,575,0.16410447599415542,2.02,Mortgage,13515.73,0
37875,381,0.21190496254776534,0.12,Own,19986.72,0
37404,363,0.4681029884276128,7.32,Mortgage,7092.77,1
41009,428,0.43871275960644485,2.0,Own,9091.97,0
18141,555,0.5836036508028453,1.98,Mortgage,14694.53,1
42113,530,0.10724434029754162,5.83,Rent,9667.0,0
38613,796,0.4753793801411784,1.46,Rent,16878.19,0
52255,436,0.35289680022649084,11.99,Mortgage,16437.68,0
55126,754,0.5513464889612296,3.86,Mortgage,14762.86,0
78142,654,0.38808333706343345,17.45,Own,26836.03,0
64256,784,0.3233338622307077,0.4,Rent,16840.08,0
41346,445,0.4329253047464974,2.05,Mortgage,17880.17,0
36523,332,0.5167617210904988,2.4,Own,17427.75,1
57378,559,0.241249275086426,6.55,Rent,10495.05,0
30196,386,0.15376352189212897,1.2,Own,24751.24,1
77471,564,0.3165090591596602,2.35,Rent,7980.57,0
67691,841,0.2072599364058643,12.08,Rent,16425.42,0
42962,691,0.3147705876976046,0.61,Own,18721.7,0
24302,531,0.5955240863994751,6.84,Own,19918.22,1
70308,746,0.38706104688701093,6.06,Rent,13443.9,0
48281,428,0.44680011142337184,0.7,Rent,18717.38,0
68567,570,0.4389642112307093,5.83,Own,9758.49,0
26083,388,0.5103504181430317,4.22,Mortgage,23352.17,1
41009,765,0.5720642995076898,1.7,Own,14185.25,0
50078,469,0.4294090491040268,1.86,Mortgage,12516.44,0
50704,427,0.33804732237660406,8.95,Own,11810.96,0
43249,473,0.2589154732089557,1.31,Mortgage,16487.12,0
59342,325,0.2801371500619335,3.6,Mortgage,7099.63,0
33985,810,0.26724030406202837,5.72,Rent,19423.79,0
47864,787,0.262232745636945,0.7,Own,12014.47,0
51804,705,0.4473125021910471,13.47,Own,21522.23,0
57716,325,0.39385451497593205,1.51,Own,8787.78,0
60674,382,0.20099752245886313,1.92,Mortgage,15660.23,0
33130,663,0.5848130095830979,5.48,Mortgage,17769.42,0
26988,666,0.31386275767715965,0.41,Rent,18311.08,0
69165,359,0.3830432005340392,4.94,Mortgage,12416.45,0
54984,591,0.4513004833948814,12.39,Own,8826.37,0
38772,490,0.4068386883384477,1.43,Mortgage,12715.32,0
73267,760,0.25552588454780045,2.25,Mortgage,20833.28,0
51735,532,0.49885328674368834,1.32,Rent,25461.39,0
67689,773,0.15507681978981344,8.54,Mortgage,6885.58,0
51012,704,0.3844979173518357,0.92,Own,11310.06,0
80911,570,0.23665861150705034,2.13,Own,6337.91,0
76330,433,0.4078811838365092,4.59,Own,12258.11,0
46265,470,0.2089967405421849,2.59,Own,11810.45,0
64573,714,0.4860998276046691,0.34,Rent,9022.32,0
59680,327,0.2137681656329163,14.76,Rent,23315.04,0
70529,435,0.5451960674834163,2.06,Own,20734.35,0
35526,704,0.5307774523351155,2.95,Own,16216.96,0
60290,804,0.2811967260069056,0.92,Mortgage,14448.77,0
65876,540,0.2929101444370129,10.03,Mortgage,19462.52,0
23618,743,0.45075172884374526,1.72,Mortgage,9992.45,0
32251,733,0.14518676898624197,0.1,Mortgage,16191.88,0
19411,527,0.14045970608783967,1.9,Mortgage,11973.98,0
45958,808,0.16816209841697158,20.69,Own,26717.48,0
60763,602,0.3812376677249262,0.79,Mortgage,8209.17,0
72535,333,0.17450115241554662,0.16,Mortgage,13638.9,0
51111,301,0.2388086408864907,4.32,Mortgage,8527.49,0
74429,661,0.423455703770104,2.32,Rent,18760.53,0
29298,494,0.10781188891835777,7.92,Rent,18749.17,0
24449,607,0.19011830397673493,6.58,Rent,11511.52,0
49166,549,0.5649653314378519,1.03,Own,8788.82,0
55760,446,0.43178881170435657,4.16,Rent,13070.98,0
49509,645,0.2527755571116067,0.16,Mortgage,11510.54,0
18988,647,0.12265171203058431,2.89,Mortgage,15320.5,0
48663,553,0.39302440420621354,6.26,Mortgage,23098.83,0
30432,698,0.2114331549462203,2.68,Own,18306.74,0
60045,633,0.5800877193591666,0.63,Rent,18795.83,0
55498,475,0.44348047749342234,0.32,Rent,14978.79,0
35901,424,0.587061943173053,9.61,Mortgage,28217.82,1
42291,697,0.5244494487057834,11.1,Mortgage,15582.67,0
34111,430,0.34151370759527033,2.1,Rent,18628.06,1
49059,706,0.43478157382707183,0.9,Rent,20493.17,0
64327,633,0.5060535977696501,19.23,Mortgage,14744.39,0
35214,319,0.3890892408313116,3.95,Rent,16037.31,1
57560,504,0.1307437504841096,3.24,Rent,12150.79,0
42046,654,0.3352231569368156,6.77,Own,15090.01,0
38106,472,0.16528666539331996,0.92,Mortgage,22317.23,0
48394,488,0.4574233876050853,4.34,Rent,20819.58,0
34471,301,0.4403144578188011,11.04,Own,18437.77,1
41695,467,0.5964540960260567,0.12,Own,19551.52,1
32031,667,0.41440490089705384,5.59,Own,14812.81,0
79470,835,0.5000689711919708,4.01,Own,19740.81,0
50528,669,0.23414392544441628,15.06,Own,14238.49,0
39504,736,0.2700120676479899,1.5,Own,6832.93,0
53209,506,0.5585121261889187,9.79,Own,24162.23,0
48315,348,0.47759612981287247,1.85,Mortgage,13978.63,0
46685,843,0.4276345873988189,2.81,Mortgage,20271.43,0
59212,428,0.22701384629152013,1.2,Mortgage,13186.29,0
61362,746,0.4492889643625826,9.96,Own,1549.34,0
42042,334,0.5433818225209757,1.09,Rent,14635.93,1
41362,498,0.21539882744732822,9.8,Own,5791.59,0
45874,376,0.4530619739579116,3.04,Mortgage,18776.79,1
15471,668,0.2968469766987544,9.01,Mortgage,13854.01,0
27272,825,0.15938370647031,1.54,Own,21094.34,0
70503,648,0.481730338266841,0.71,Mortgage,16166.64,0
