income,loan_amount,credit_history,age,balance,default
59666.16,237161.81,7,38,98837.65,1
72265.51,264684.69,8,19,137462.27,1
44033.19,142694.53,6,28,155114.87,0
29392.71,130052.64,0,25,89818.8,0
59888.29,247140.94,6,36,85795.24,1
65853.11,269812.14,10,56,78240.57,1
64614.45,199169.18,7,6,197405.6,1
64908.15,218607.35,7,10,168131.49,1
58791.04,231373.26,6,33,104396.49,1
66552.83,229164.7,7,15,159974.34,0
56260.67,252946.94,5,40,53965.5,1
26655.5,108370.58,1,28,105915.74,0
45921.15,158858.25,5,28,141372.03,0
70199.06,263715.68,7,23,125453.35,1
33576.38,128338.4,2,28,115674.12,0
72936.63,253884.26,8,16,158979.42,1
56538.94,252646.0,5,41,55959.24,1
33665.62,126160.21,3,34,117501.63,0
62433.23,264868.6,9,55,66249.01,1
55264.78,264244.73,4,47,28649.73,1
62566.06,221921.04,7,21,145378.57,1
28638.93,123293.31,1,35,91857.4,0
64451.24,227290.74,5,8,152914.22,0
70784.64,294638.24,7,33,78135.52,1
63940.38,268732.55,6,33,77422.38,1
62351.5,247226.68,8,46,96153.76,1
33688.86,123839.53,3,32,121797.04,0
47471.44,152264.23,6,27,160972.34,0
76274.77,309050.51,8,31,88941.27,1
70526.36,225342.99,8,5,192701.03,1
65774.13,219921.43,8,20,167414.76,0
55513.27,233475.13,5,37,80506.87,1
34242.85,128603.38,3,30,118698.2,0
47595.31,176164.96,4,21,127435.61,0
48745.9,161862.98,7,31,152246.22,0
40949.81,167901.21,0,14,103833.46,0
54755.72,204078.54,4,13,129987.76,0
61462.52,229720.95,6,25,125452.41,1
59326.15,243528.28,8,51,82031.09,1
63406.67,264133.99,6,33,81592.38,1
52330.11,180600.58,6,26,146560.74,0
65872.79,251372.87,7,25,118277.42,1
65281.42,254935.11,10,48,100502.56,1
59632.18,247704.63,8,49,78515.87,1
61674.44,238230.7,10,53,103268.51,1
40599.99,104674.25,7,27,193269.3,0
64394.98,233142.81,7,21,138947.91,1
58662.35,230438.19,8,44,100712.45,1
73470.22,298696.33,7,30,88767.77,1
49945.14,155635.36,7,26,170537.13,0
62047.97,238868.75,7,34,111410.37,1
4960.61,40630.5,-2,40,77789.74,0
54735.44,212450.68,5,26,112137.79,0
61457.24,213585.83,8,25,149894.84,1
58453.06,200935.55,7,24,151987.01,1
27652.87,93783.95,4,43,127965.44,0
59000.34,254765.73,5,36,68760.47,1
57847.98,182233.72,8,22,177594.85,0
49821.77,138560.52,8,23,196841.05,0
60144.61,218340.06,4,7,141996.28,0
29588.37,123844.71,1,28,99478.73,0
66679.83,192760.98,10,18,214840.77,0
58568.72,210139.4,7,25,138538.74,0
53442.94,258585.47,2,31,32427.66,1
58992.15,191504.69,7,19,171589.43,1
62126.39,229511.48,9,42,123036.28,1
77439.26,291178.72,8,21,126739.79,1
68174.31,248429.37,5,2,145043.02,0
60816.84,244913.01,8,45,91120.61,1
59513.86,248758.62,6,41,78988.79,1
54143.72,217341.39,5,32,98818.99,1
69897.07,228844.01,8,8,182477.12,1
57277.06,164188.27,9,21,202279.64,0
71775.78,281386.27,7,28,105814.1,1
67476.03,221692.92,8,14,176859.51,1
69446.55,254532.94,4,-1,144066.55,0
27172.23,113230.94,2,36,98530.5,0
58199.72,187436.29,7,14,174807.77,1
37367.91,129655.17,4,30,134993.0,0
57090.17,205260.09,6,25,137265.16,1
57507.42,257086.65,5,44,53711.85,1
42236.06,148848.82,5,29,134696.53,0
58534.36,236880.05,7,42,91152.82,1
60862.99,251372.37,6,36,85052.77,1
63497.75,186220.99,10,19,205797.93,0
56081.57,209371.88,6,25,124984.9,1
62264.23,202019.48,8,21,173734.93,0
64844.76,245372.65,12,60,107937.15,1
59368.11,210380.52,5,11,147978.04,0
59723.28,192171.24,6,9,178598.04,1
58764.58,260447.16,5,40,57456.79,1
58614.29,227995.04,6,29,109920.68,1
56119.15,277576.21,4,49,12556.41,1
40416.02,84380.41,8,25,223583.94,0
61506.16,250110.24,6,33,91863.23,1
61592.13,233057.47,8,34,117555.25,1
59522.58,204038.07,7,22,154326.2,0
51404.41,166817.57,7,25,162374.51,0
47029.24,144490.07,7,26,170505.08,0
87045.2,323449.16,10,21,133925.72,1
53312.71,188549.83,5,18,143239.93,0
35382.98,133138.14,3,28,119050.39,0
59710.93,181823.81,9,21,189657.21,0
55158.8,254515.5,5,50,41478.87,1
59607.29,215078.28,7,28,135867.3,1
58321.21,245020.76,8,51,74028.26,1
60896.61,243063.83,6,30,99950.58,1
57107.08,205387.69,6,21,138672.08,1
57104.6,240805.53,6,40,77604.43,1
42225.48,154949.99,3,25,127073.94,0
62365.44,260456.7,8,52,73765.99,1
78365.58,302407.83,9,27,112985.01,1
40878.21,116614.99,6,27,176398.47,0
61061.87,185956.67,10,25,189531.7,1
46290.62,125623.77,8,25,195171.8,0
60144.79,257099.59,8,56,64549.55,1
57448.34,269560.43,5,48,32726.84,1
54186.32,261383.2,3,40,29358.25,1
23117.95,112910.96,-2,22,80716.03,0
34963.26,138693.38,2,27,108523.99,0
54197.26,243743.76,3,32,59104.78,1
55720.2,163941.17,8,22,193034.05,0
44603.74,167508.4,3,22,122967.69,0
56263.86,245315.94,4,33,68344.58,1
53973.0,239592.38,4,37,62349.0,1
56645.35,231290.03,4,26,94504.3,0
31653.64,131179.31,0,22,102515.27,0
59532.25,229838.46,7,34,110582.47,1
39300.45,149508.8,3,30,116273.03,0
62861.0,263288.48,8,51,72745.12,1
41038.55,153437.94,3,27,121631.03,0
52478.72,211006.66,5,33,98463.91,1
56052.06,251877.01,4,37,55798.99,1
56675.43,214645.49,6,29,118981.71,1
63729.28,274212.54,8,55,59550.0,1
58927.84,203515.21,8,31,148259.21,1
52910.0,197793.37,5,25,123953.48,0
62883.92,236889.13,11,53,112167.4,1
65799.48,245635.2,7,23,127280.88,1
54253.38,150907.73,9,22,204551.82,0
30820.08,70388.46,5,29,187443.26,0
77005.72,343042.98,7,44,36852.29,1
58843.83,240031.89,7,40,88935.48,1
68657.27,250635.69,7,21,137199.03,1
40988.93,153381.12,3,22,123321.63,0
57719.02,215926.52,6,26,124232.01,1
60712.21,285604.19,8,70,19175.9,1
33660.81,112361.7,5,41,135659.2,0
36765.08,140667.38,3,32,114293.07,0
69997.17,242142.66,8,14,160577.42,1
41855.61,139024.22,5,31,146698.12,0
63336.82,272706.53,6,41,64967.9,1
41845.19,83052.61,9,24,234219.72,0
58376.44,189119.26,8,23,169937.16,0
66915.77,299085.09,6,42,45231.94,1
36745.72,108031.72,5,29,164879.98,0
60364.47,220812.11,6,22,133584.31,1
63486.45,222152.17,10,40,143036.11,1
61946.98,269657.98,8,52,57229.91,1
69048.27,212530.72,10,18,198608.62,0
63491.64,245110.12,10,51,103959.7,1
41679.41,104004.8,7,26,200675.01,0
69659.47,219707.52,10,18,191170.09,0
62578.55,223792.41,5,10,146878.64,0
62305.88,212050.15,7,17,160351.61,1
70063.29,220949.42,10,17,191874.96,0
27426.52,88836.31,3,34,137747.42,0
62288.39,193160.47,9,20,187683.15,0
48872.18,155334.19,7,26,164813.82,0
39062.46,160932.35,0,15,103238.9,0
57966.62,267583.96,5,48,38857.9,1
65773.84,214481.57,10,26,173353.61,0
19839.35,88753.82,0,36,92955.72,0
70251.66,288528.38,7,33,84190.43,1
57801.43,291261.72,4,52,178.29,1
50901.19,147273.72,8,24,189542.02,0
57975.31,195239.83,7,25,157455.83,0
49107.8,170185.84,6,27,143060.02,0
57654.64,224016.61,7,41,106022.27,1
63556.18,222765.1,11,44,140840.28,1
55203.52,259798.13,5,47,34827.22,1
49849.3,182638.41,3,14,133341.44,0
72111.5,262173.06,8,20,140019.57,1
59471.59,285479.35,6,57,17042.36,1
37090.07,99664.59,6,28,179866.75,0
50792.51,149603.44,8,24,185254.21,0
72772.51,267924.28,8,21,134863.87,1
59068.01,210409.15,8,32,138112.62,1
63636.59,203728.88,9,21,179305.5,0
61070.61,208631.81,10,39,150087.36,1
71394.48,297118.22,7,33,77794.93,1
68375.7,264401.83,7,29,111475.3,1
66277.2,251362.81,6,22,121760.62,1
63227.43,250766.91,6,30,101953.46,1
60918.64,291111.7,7,63,14620.27,1
58453.13,210359.45,5,18,140067.68,1
48182.92,173802.83,5,23,133616.27,0
67151.69,217214.71,7,7,184698.95,1
59652.27,213158.48,6,20,142173.08,0
63951.37,271181.42,6,38,72022.76,1
52976.2,183805.11,5,21,147336.67,0
59568.74,272022.24,7,59,37038.56,1
32136.61,125443.44,2,30,110890.68,0
45109.44,140651.49,6,27,164906.54,0
52492.23,300059.77,1,49,-43017.0,1
65218.81,219185.59,8,17,166408.12,0
55757.64,246216.4,4,32,64414.84,1
47511.33,179268.27,4,24,121028.2,0
54422.69,224747.66,5,36,87674.33,1
70277.57,262253.73,7,22,128410.41,1
59364.88,214988.5,7,30,133838.32,1
55930.59,263206.3,5,50,32913.99,1
62047.49,269080.43,9,59,55983.73,1
76415.93,320811.49,8,36,70222.08,1
52976.66,238451.02,3,31,60476.58,1
64644.81,192471.11,13,39,195223.57,1
55456.72,171268.18,8,23,180185.65,0
63659.12,259001.72,7,40,87962.96,1
39731.78,136289.89,5,30,138756.41,0
57844.08,200683.35,7,22,149720.12,0
60221.23,190527.82,9,24,178325.44,1
68398.53,245694.45,5,3,150039.19,0
79182.64,288538.75,9,18,142007.34,1
60023.83,251052.99,5,34,81089.85,1
59643.27,274961.05,5,45,38546.24,1
60020.62,190695.45,8,21,177781.04,0
46480.05,169899.71,4,20,130766.23,0
81000.67,277416.49,9,11,172455.67,1
52356.38,188331.35,5,19,137566.13,0
33048.07,117808.62,4,36,125683.07,0
62028.54,206324.66,8,21,165766.92,0
61795.3,262671.65,8,53,66746.73,1
-3935.18,2470.21,-1,54,78453.1,0
60514.76,283919.88,6,55,26185.27,1
53612.11,255346.89,3,40,34906.59,1
63577.11,228480.99,9,39,134424.07,1
51963.96,191230.69,5,27,127837.89,0
31142.59,128198.13,1,27,102323.46,0
52426.18,128448.22,9,21,228219.08,0
59156.05,252802.95,4,31,74723.53,1
66663.16,210543.04,8,8,191489.37,1
47233.99,132454.27,7,25,190402.55,0
47624.71,137416.88,7,25,185199.31,0
60477.0,201601.85,8,22,163559.52,0
38748.94,139785.17,4,28,128630.42,0
63787.65,253045.03,6,31,101353.99,1
61160.5,256787.07,6,38,77801.97,1
31292.44,74102.85,6,30,184258.25,0
56673.79,237591.06,7,46,77427.03,1
51554.84,251666.14,2,34,30967.54,1
50507.61,128950.43,9,23,215516.3,0
63121.81,266551.84,6,37,74550.04,1
54008.7,189700.44,5,20,144643.67,0
71028.3,264325.53,7,18,131322.57,1
45532.55,175186.29,5,32,112701.9,1
57026.71,247895.63,5,37,67339.0,1
37176.55,147605.28,2,26,108217.44,0
47512.33,130464.18,8,25,194964.04,0
46384.32,163826.22,5,29,136304.89,0
74489.17,286201.26,8,25,115616.65,1
53511.07,184962.45,6,26,146788.34,0
38729.46,144056.27,3,25,123119.44,0
37234.24,146861.02,1,19,112414.88,0
32292.64,111721.17,4,37,130268.57,0
53409.78,196163.37,5,20,131621.59,0
63130.47,252488.98,8,42,93941.2,1
38247.63,146721.8,2,21,117941.22,0
67840.93,251730.62,11,51,119157.77,1
59527.25,179657.33,9,22,191433.92,0
58981.65,195800.87,6,14,166616.14,1
49691.16,135998.57,8,23,200012.07,0
57458.27,202975.28,8,38,137902.92,1
41330.01,156935.18,2,19,120860.23,0
68449.87,241051.43,7,14,153073.33,1
72271.88,248698.21,9,17,162706.54,1
54640.34,167729.51,8,23,180725.67,0
59554.21,226683.33,6,28,118015.43,1
31678.65,114433.92,3,30,125005.87,0
51619.04,187377.67,4,19,134722.55,0
64051.17,244331.17,8,39,112967.49,1
57061.6,201736.21,4,11,147804.35,0
59663.29,252541.17,7,47,71861.52,1
58767.19,282589.28,4,44,22152.48,1
47188.1,112030.57,9,23,221843.98,0
57521.82,200906.24,6,23,147212.17,0
13882.59,61800.09,0,41,97291.01,0
59003.95,164014.38,10,21,212480.11,0
21255.19,102607.94,-1,28,83108.66,0
59717.93,187701.91,8,21,180569.44,0
63145.26,222751.15,11,47,137357.15,1
55151.75,209984.4,6,28,117376.69,1
56837.3,215640.31,6,27,119258.83,1
80161.97,271553.44,9,11,176228.1,1
62275.15,225135.92,8,34,133766.76,1
49198.86,174093.54,5,26,138058.09,0
50958.83,225223.13,4,39,65591.3,1
53744.32,182050.65,6,18,155441.32,0
62421.76,237860.12,8,40,112883.22,1
60971.87,243901.71,6,32,98353.02,1
37002.05,131409.8,5,36,128069.37,0
36726.34,107551.49,5,29,165251.81,0
41955.07,160123.86,2,21,118850.75,0
57877.72,274337.12,5,53,26274.54,1
74790.24,220234.6,9,-3,228442.97,1
63935.37,231455.7,10,41,131201.85,1
47193.12,157811.97,6,27,150927.91,0
42102.82,144801.88,5,29,140297.52,0
57921.96,208708.25,6,24,137335.51,0
75480.86,302838.44,8,32,93449.87,1
59866.51,273543.63,8,63,35051.41,1
44463.29,141835.86,6,27,159127.41,0
50072.81,198850.41,5,31,103608.47,1
56004.6,203887.34,4,9,138991.38,0
38897.58,148781.59,2,23,117812.16,0
51670.67,134374.07,9,22,214565.85,0
83315.92,329567.11,9,32,98679.86,1
42855.04,166587.12,2,18,115433.54,0
56282.87,183646.21,7,23,165897.15,0
28060.26,95894.44,4,39,128714.23,0
55040.63,265858.71,4,50,23436.56,1
42641.92,126195.8,6,28,171927.41,0
38967.52,119634.53,5,29,159928.06,0
59994.87,243722.99,7,38,90603.81,1
58009.55,204942.08,5,15,146913.47,0
23087.09,96801.35,1,32,100978.3,0
61320.31,284718.78,8,68,24563.31,1
54811.17,280918.2,2,45,1235.08,1
38854.27,96837.34,7,28,194486.8,0
45433.84,152860.47,5,28,147862.69,0
57069.74,195009.25,7,24,153099.08,0
55431.15,203759.33,6,26,129282.26,1
60684.24,161306.47,10,18,227476.88,0
22212.47,40120.1,5,33,181552.7,0
52417.94,148808.07,8,24,196254.42,0
64109.02,283160.17,9,66,43991.04,1
42284.48,89790.38,9,26,226113.16,0
31461.79,120709.42,2,29,114717.15,0
63113.42,243403.27,6,26,113820.35,1
35427.48,136098.68,2,24,116310.5,0
18243.0,86286.54,0,35,87801.6,0
62880.81,261942.74,9,55,73367.68,1
42261.08,174774.17,0,14,101247.78,0
47499.29,179616.42,4,28,119077.37,0
22049.41,80408.06,3,42,116226.55,0
54099.88,158649.33,8,23,191299.18,0
56722.35,261465.39,4,37,45021.53,1
70250.53,260383.96,8,25,130173.73,1
63550.19,225114.69,10,40,138992.33,1
64577.39,237013.52,7,24,132903.68,1
49694.24,115873.01,9,21,231222.23,0
33884.43,133707.07,2,30,108497.16,0
62045.4,231563.43,9,40,120195.3,1
69294.7,232328.07,8,14,171520.83,1
66151.1,203226.85,7,4,201105.61,1
48958.41,172285.64,5,25,140007.96,0
51920.74,182593.59,6,26,141096.64,0
42282.49,156943.63,4,29,122851.18,0
31694.15,79631.29,5,30,178009.28,0
58653.44,241348.28,8,53,80661.31,1
58868.6,282323.68,6,57,18044.74,1
52419.65,172626.88,7,25,159549.32,0
56446.02,184822.54,7,23,165258.53,0
58854.88,226312.64,8,39,109937.72,1
63035.88,218353.09,7,18,154663.2,0
57305.34,243120.34,5,33,77864.76,1
61450.34,249630.26,6,31,93051.74,1
59472.12,256526.95,6,42,66784.35,1
43777.36,158022.57,4,25,131142.47,0
31108.25,76669.63,5,31,178838.34,0
57096.95,268581.57,6,56,29236.51,1
48762.66,223378.47,4,46,52876.69,1
66982.34,271515.48,7,33,91034.1,1
53039.72,169373.01,7,24,168390.41,0
60712.43,216674.22,9,35,136942.45,1
55965.37,267170.48,3,40,30639.5,1
54059.99,185972.83,5,18,151440.47,0
66935.63,287314.96,7,41,63802.29,1
63117.0,323088.92,5,59,-19872.57,1
54863.8,217295.48,5,32,103357.32,1
62045.91,261179.49,8,53,70514.79,1
80982.03,275327.18,10,12,175025.67,1
68038.07,198419.85,10,16,214658.04,0
65904.6,255227.95,11,54,101568.89,1
59862.91,219451.38,4,12,136892.9,0
38947.29,132391.14,4,30,140305.4,0
62518.19,229581.33,7,24,132170.96,1
32832.98,117154.2,4,39,124455.47,1
38246.2,145663.17,3,25,117700.7,0
58998.0,263718.53,7,53,48730.5,1
52822.71,185149.72,5,20,144634.33,0
63903.08,219230.44,7,19,157887.17,1
55922.34,210953.53,3,10,127262.99,0
84011.47,295445.33,10,15,160856.1,1
33095.18,70588.17,7,29,200274.84,0
38642.1,147666.24,3,27,116265.93,0
59952.03,250477.55,8,50,75606.45,1
60977.3,236603.41,6,31,110010.86,1
59350.17,236238.02,8,45,95505.65,1
53055.03,315746.58,2,64,-69185.86,1
56665.2,262339.04,5,45,40400.95,1
27742.1,103876.42,3,38,115314.69,0
59634.53,262417.64,5,40,59437.77,1
60065.52,171752.37,9,21,207142.99,0
58534.57,286264.41,5,57,10170.97,1
54580.02,195868.49,6,26,136457.18,0
83307.13,286456.16,9,10,172469.88,1
61357.62,222263.86,5,15,139970.96,0
58827.58,205565.06,7,23,147606.83,0
41145.93,132686.25,5,29,153141.62,0
21900.03,92580.36,1,35,99558.41,0
44448.87,120413.69,7,26,192019.73,0
59228.36,181371.32,8,21,187411.88,0
48603.62,160068.32,6,25,156438.89,0
74051.32,246383.1,8,10,179373.69,1
61564.82,226264.28,8,37,126882.86,1
62032.25,222805.78,9,35,135399.89,1
50670.92,206336.72,5,37,93434.36,1
57278.71,190671.68,6,18,162989.69,1
70238.66,256200.51,7,18,139154.15,1
60878.98,228953.63,7,29,121670.45,1
39115.93,134439.92,5,35,136318.56,0
59210.77,282456.79,5,50,22605.84,1
23355.73,106243.62,-1,23,91617.62,0
58003.98,175725.5,8,21,188720.91,0
67886.16,260314.63,7,25,116468.67,1
61096.24,203989.58,9,28,161385.39,1
51490.31,153452.17,8,24,183696.93,0
23789.2,103644.75,0,30,95630.08,0
56670.99,176830.68,8,22,178966.47,0
49167.48,178277.33,4,22,133145.73,0
79221.68,334283.54,8,39,64699.62,1
45539.53,164976.97,4,22,132138.51,0
69229.69,234925.83,8,15,166794.25,1
60521.88,185788.31,9,21,188387.78,0
36694.07,123345.2,5,33,139475.44,0
60810.28,240866.38,8,42,98090.62,1
62681.14,232868.19,6,24,128231.45,1
61954.95,271467.98,7,50,55517.66,1
56626.85,192621.07,6,17,156562.07,1
29388.39,127608.98,-1,20,95363.04,0
55184.07,186866.01,7,26,153575.14,0
71507.23,277149.32,7,27,111206.91,1
52546.31,170900.89,7,26,162596.9,0
59253.47,201522.2,7,20,157538.24,0
78623.59,262626.77,9,9,181612.9,1
60858.29,307612.36,6,64,-11348.54,1
42868.77,158372.93,2,16,128975.64,0
33142.88,121719.18,4,36,120352.53,0
72804.98,259664.71,8,19,148572.04,0
43165.02,156667.21,4,26,129411.95,0
60936.95,207010.38,7,16,160410.4,1
56908.22,215062.22,6,29,119516.11,1
50540.62,187633.21,4,17,128906.96,0
61914.27,259924.69,7,45,74607.74,1
62567.44,250592.99,9,48,91409.41,1
43768.77,139337.3,6,27,158796.15,0
58275.07,276372.34,6,56,24115.21,1
66555.61,229914.18,8,21,156285.83,0
47817.74,169942.04,5,25,136609.73,0
21756.61,93419.69,1,37,96607.93,0
40053.06,116935.84,6,29,170705.07,0
55932.74,265846.97,3,37,33867.71,1
66407.86,305417.73,6,48,30393.38,1
48923.5,187839.16,2,14,120261.01,0
59638.76,205876.31,6,18,153590.12,1
57651.28,260132.78,5,45,49454.24,1
42659.6,106072.35,8,25,203576.31,0
64431.73,234179.07,7,23,136614.62,1
59651.45,220821.51,6,24,128665.71,1
57098.77,219281.41,6,33,112808.34,1
41249.45,147374.84,4,29,131135.07,0
63303.09,320216.83,6,61,-15116.0,1
56692.11,205503.3,6,26,133952.12,1
37862.04,143230.99,3,29,117791.21,0
62173.24,252285.43,6,31,93025.51,1
57842.64,173435.45,7,9,196121.25,1
57129.9,252127.17,5,43,59182.14,1
59425.22,280319.34,5,52,26551.12,1
41441.96,154234.46,3,25,123488.72,0
57317.7,272341.58,5,49,27528.56,1
64123.84,212567.47,12,44,159647.25,1
54633.83,228767.05,5,36,82950.69,1
59824.19,266039.41,6,46,52797.44,1
44471.98,125064.99,7,26,185029.46,0
37818.17,131060.69,4,26,137245.71,0
55305.09,166793.99,8,23,186107.1,0
54702.68,253153.74,3,32,47965.17,1
54140.89,162144.01,8,23,186178.97,0
69579.47,289001.74,7,37,78147.12,1
64880.09,214102.82,8,21,170704.64,0
37474.44,124725.73,4,30,143177.57,0
63154.98,236400.49,11,54,114113.16,1
56242.57,201458.41,5,15,141799.24,0
52294.27,238876.91,2,27,57408.78,1
70542.08,260268.27,7,18,134520.11,1
57420.16,140803.09,11,20,239096.87,0
66639.5,254605.5,7,27,116992.63,1
42735.03,129691.66,6,28,167264.73,0
64250.79,222799.84,11,42,145942.67,1
46022.5,167601.68,4,20,131741.62,0
27849.69,130876.63,-2,21,81377.56,0
60001.77,221940.38,7,31,126693.15,1
40952.02,160193.59,2,22,112696.37,0
8417.14,53359.24,-1,44,76957.23,0
56806.65,196301.62,6,21,150794.61,0
66579.6,251882.38,7,25,121707.19,1
37442.27,113008.72,5,30,160777.71,0
58099.44,226013.26,8,44,104125.47,1
48717.77,154913.77,7,26,164444.54,0
62772.08,188381.82,9,20,197760.32,0
71085.92,203910.57,11,15,224454.33,0
25285.66,102597.91,1,33,104562.17,0
63824.59,239992.69,10,49,114345.12,1
58791.42,198323.82,8,27,157042.36,0
54418.09,226252.09,5,35,85778.9,1
67953.07,217584.37,9,19,184215.34,0
65240.58,200081.36,7,6,199883.94,1
59083.23,213179.66,6,24,137060.61,0
56694.45,230284.7,6,37,92116.45,1
64344.68,232647.63,7,21,139524.98,1
56947.72,290231.63,3,50,-2482.9,1
61319.96,283396.27,6,50,33502.27,1
50092.26,139064.55,8,24,197424.67,0
80275.24,285023.88,9,16,154638.55,1
53110.27,183197.77,6,20,149295.85,0
54704.81,151018.31,9,22,206745.72,0
28580.36,90614.12,5,46,137291.78,0
21363.03,80235.53,2,41,112755.1,0
58090.42,234893.17,7,45,90296.89,1
44012.84,165237.97,3,23,122680.02,0
53655.87,257171.24,2,31,35834.25,1
70104.0,270202.75,8,34,111102.08,1
62772.67,185580.41,7,1,209478.86,1
61362.07,242785.64,6,32,102203.31,1
60505.57,244253.24,6,36,93575.87,1
34809.65,93253.55,6,29,175882.92,0
51908.7,150114.36,8,24,191266.15,0
27815.59,124006.56,-1,20,91965.72,0
63190.64,226528.63,9,38,135298.29,1
66044.02,202661.18,10,19,195803.16,0
48728.39,147714.96,7,25,175814.57,0
62899.62,230319.89,7,22,133993.88,0
33790.52,97273.66,5,30,163668.37,0
49396.04,184360.32,5,27,123463.19,0
59785.94,222935.44,7,31,123684.66,1
59645.72,276422.76,7,57,31764.42,1
48568.01,174350.73,5,24,134765.0,0
61561.57,270229.2,8,54,53552.15,1
50291.32,170858.95,6,26,149286.08,0
59558.95,225305.69,3,3,129561.79,0
61086.36,150932.78,11,18,245617.15,0
65052.12,296792.28,6,45,37045.26,1
60748.5,247937.72,6,33,90722.43,1
57787.87,248311.88,5,39,70315.35,1
62703.04,260091.88,8,48,77746.59,1
60685.83,256548.52,7,44,72794.11,1
54570.76,218829.35,0,0,111493.5,0
78817.79,293178.84,8,20,132256.54,1
59320.77,163814.9,10,20,215194.0,0
58236.82,182780.1,6,11,183306.71,1
48359.39,179435.66,3,18,128198.94,0
71195.98,278319.88,8,30,106650.7,1
34005.92,115592.69,5,39,133410.6,0
24453.39,104426.38,0,29,98665.1,0
70174.5,301369.95,7,40,61681.42,1
62812.31,185458.89,10,20,202670.64,0
59119.5,205314.61,7,21,150501.71,0
10262.57,55736.37,-2,34,88034.26,0
47393.23,148240.94,6,26,166889.51,0
34575.36,124145.49,4,35,125442.71,0
57387.64,234129.08,5,28,93767.57,1
53577.6,153410.13,8,23,196221.37,0
61013.21,275750.37,8,60,39416.56,1
74741.75,275864.42,8,21,134149.64,1
62236.34,245684.12,6,31,103317.62,0
59545.18,237538.57,8,49,93245.93,1
59184.78,252586.54,7,51,67450.05,1
10924.4,63806.95,-2,35,79053.28,0
47746.02,149951.75,6,25,166678.47,0
75132.89,224914.8,9,-3,223119.49,1
52767.79,163630.36,7,24,175704.76,0
48246.38,147240.69,7,25,173915.26,0
52498.05,147072.59,8,23,199513.85,0
56598.63,246518.21,5,38,66806.42,1
52307.94,280054.36,-1,32,-6989.76,1
53243.71,186186.08,6,22,144728.16,0
36243.4,130923.35,4,32,125789.76,0
40392.95,111344.21,6,28,181505.07,0
59386.45,247298.89,8,54,75490.38,1
64779.23,243215.51,7,25,124158.27,1
34235.16,124384.19,4,34,123213.85,0
64958.45,242980.6,7,25,125826.57,1
66860.68,267900.12,7,33,96017.04,1
26200.14,112471.5,0,27,97167.3,0
38207.56,119710.55,5,29,155384.82,0
54103.77,302834.96,0,44,-35822.75,1
60408.58,220487.08,8,34,129840.41,1
49101.39,212510.36,4,38,74485.39,1
34883.03,125291.09,4,34,125920.69,0
61664.52,266785.68,5,35,66545.88,1
