customer_id,annual_income,credit_score,debt_to_income,loan_amount,employment_years,missed_payments,num_credit_accounts,collateral_value,mobile_recharge_regularity,upi_txn_per_month,ecom_prepaid_ratio,bounced_transactions,salary_credit_regularity,default
1040,678178,427,0.1,855581,,5,4,3626.0,0.37,48,0.68,4,,1
1041,1455416,414,0.32,1938529,5.0,0,13,1658800.0,0.1,4,,5,0.94,1
1042,1615689,508,0.69,1144316,24.0,3,2,1543971.0,0.97,6,0.23,3,0.71,1
1043,218148,825,0.28,156611,,5,11,1807737.0,0.93,18,0.57,4,0.3,1
1044,1975665,820,0.51,448172,13.0,6,11,2305289.0,0.79,56,0.82,3,0.58,1
1045,406508,536,0.67,518947,26.0,9,11,2844472.0,0.17,55,0.03,1,0.94,1
1046,953591,580,0.14,525828,23.0,2,1,1627008.0,0.5,28,0.63,3,0.81,0
1047,1046942,658,0.63,823210,7.0,8,12,144454.0,0.19,14,0.35,0,0.74,1
1048,2353682,500,0.13,378785,30.0,6,10,436442.0,,34,0.29,7,0.74,1
1049,754365,577,0.87,1686675,28.0,0,9,254043.0,0.65,46,0.39,3,0.18,1
1050,2020928,534,0.47,495376,6.0,1,7,643198.0,0.96,36,0.34,4,0.82,1
1051,1923415,793,0.18,756673,7.0,0,4,2560079.0,0.91,54,0.83,5,0.28,0
1052,2205555,303,0.34,1686096,12.0,8,12,620343.0,0.73,11,0.27,5,0.93,1
1053,955889,741,0.4,851849,5.0,8,6,1436909.0,0.19,29,0.73,7,0.36,1
1054,1658349,328,0.69,1778665,17.0,6,14,730070.0,0.35,19,,2,0.86,1
1055,2455413,408,0.68,1211068,1.0,9,2,2904979.0,0.39,36,0.95,7,0.27,1
1056,1513715,374,0.57,1128675,7.0,2,7,1845733.0,0.79,2,0.62,6,0.51,1
1057,1370405,445,0.14,1085891,10.0,4,2,1606325.0,0.82,8,,3,0.11,1
1058,421836,427,0.18,803494,,3,10,110084.0,0.45,57,0.3,5,0.66,1
1059,2245505,341,0.13,473177,21.0,6,8,1014391.0,0.48,40,,7,0.84,1
1060,2449435,655,0.54,692762,28.0,8,8,2443028.0,0.14,38,,3,0.72,1
1061,346769,340,0.8,1369976,,1,1,,0.36,25,0.93,6,0.52,1
1062,1421741,333,0.42,1577912,15.0,7,13,1390277.0,0.51,1,0.49,5,0.05,1
1063,1196797,316,0.19,817876,26.0,8,8,2954844.0,0.21,22,0.63,6,0.93,1
1064,1734398,452,0.52,1657545,19.0,9,2,1732626.0,0.51,22,0.73,3,0.71,1
1065,714685,677,0.74,1189904,11.0,9,6,2884991.0,0.87,58,,4,0.75,1
1066,1552107,641,0.68,1841376,10.0,8,13,73568.0,0.62,20,0.72,3,0.79,1
1067,1461736,326,0.8,1032293,28.0,9,1,,0.17,15,0.68,7,0.75,1
1068,1157293,586,0.29,355505,30.0,6,5,1199529.0,0.27,8,0.71,6,0.44,1
1069,729879,467,0.21,1556295,26.0,8,11,1790228.0,0.53,12,0.49,4,0.73,1
1070,173247,567,0.8,1133116,28.0,8,7,,0.43,27,0.38,4,0.63,1
1071,1222876,754,0.61,1256184,9.0,2,13,2323176.0,0.42,26,0.22,2,0.85,0
1072,1472905,700,0.31,1183276,2.0,3,10,1229351.0,,50,0.82,5,0.8,0
1073,1917640,775,0.68,1030547,12.0,1,1,961858.0,0.63,51,0.61,0,0.04,0
1074,1435160,429,0.74,390676,26.0,9,2,2188440.0,0.82,16,0.44,4,0.38,1
1075,1760908,662,0.57,1810511,2.0,2,7,,0.41,37,0.94,6,0.03,0
1076,2036222,591,0.63,439770,30.0,4,6,1429740.0,0.82,35,0.05,5,0.1,1
1077,1128732,670,0.37,1494663,14.0,4,3,2982885.0,0.4,0,0.85,1,0.6,0
1078,1575472,328,0.51,96002,15.0,5,14,1822700.0,0.15,17,1.0,3,0.87,1
1079,198984,448,0.5,1148388,28.0,6,10,14390.0,0.6,50,0.89,7,0.12,1
1080,1654384,595,0.77,465842,12.0,6,2,,0.63,8,0.81,6,0.45,1
1081,2183643,310,0.76,765339,16.0,0,10,218547.0,0.94,12,,1,0.91,1
1082,2380919,811,0.76,1356482,2.0,1,4,551595.0,0.75,39,0.23,6,0.81,1
1083,1902126,412,0.06,1207522,19.0,8,3,227436.0,0.93,54,,3,0.52,1
1084,286330,486,0.69,1165244,10.0,9,7,2322273.0,0.92,44,0.3,2,0.77,1
1085,1887095,526,0.69,149003,26.0,1,8,2084820.0,,14,0.18,6,0.52,1
1086,2261138,609,0.63,1834006,20.0,5,2,2348215.0,0.57,42,0.79,4,0.16,1
1087,736146,397,0.69,270462,18.0,0,10,1595350.0,0.6,43,0.31,0,0.12,1
1088,2259818,354,0.77,1928006,21.0,2,7,,,45,0.91,4,0.19,1
1089,2381785,705,0.45,769174,10.0,1,8,2325452.0,0.8,3,0.84,3,0.35,0
1090,438998,368,0.48,678889,29.0,2,6,2201072.0,0.2,32,0.85,6,0.93,1
1091,1993400,611,0.16,319956,30.0,4,6,1785430.0,0.8,23,0.77,0,0.8,0
1092,1229111,588,0.38,111844,27.0,9,10,1018056.0,0.25,35,0.88,4,,1
1093,1146107,847,0.6,1824029,15.0,5,1,1393488.0,0.5,50,0.81,0,0.49,0
1094,501279,447,0.71,445395,,8,4,928252.0,,40,0.6,7,0.27,1
1095,2020230,766,0.23,1797734,2.0,9,14,587073.0,0.72,9,0.3,3,0.7,1
1096,639570,543,0.17,1173177,21.0,3,1,600338.0,0.89,35,0.89,2,0.8,1
1097,2200731,790,0.61,975779,5.0,6,4,547026.0,0.36,19,0.84,2,0.24,1
1098,1471685,806,0.05,360001,30.0,5,2,74231.0,0.17,40,0.47,6,,1
1099,2271690,664,0.2,437699,13.0,1,11,2170758.0,,44,,4,0.62,0
1100,2448816,781,0.07,1593276,23.0,9,13,1352382.0,0.71,43,0.64,1,0.56,0
1101,641234,500,0.19,1381420,17.0,7,5,1850131.0,0.4,10,,3,0.4,1
1102,2098260,453,0.2,1880791,16.0,6,10,493896.0,0.35,11,0.93,4,,1
1103,289182,749,0.38,482680,3.0,6,14,,0.27,17,0.96,4,,1
1104,1671101,800,0.39,1271999,22.0,7,9,2593050.0,0.55,29,0.19,2,0.25,0
1105,1356914,372,0.79,143330,14.0,0,11,2259555.0,0.35,43,0.68,6,0.4,1
1106,334064,595,0.48,275391,10.0,0,12,2798610.0,0.76,47,0.09,0,0.43,0
1107,364020,316,0.66,263606,25.0,7,10,1080132.0,,36,0.73,3,0.88,1
1108,2122990,516,0.14,457085,2.0,3,3,1307046.0,0.7,19,0.35,7,0.96,1
1109,1047421,360,0.24,241387,2.0,4,8,1725812.0,0.31,24,0.68,0,0.89,1
1110,1844490,341,0.65,1339709,15.0,7,3,576250.0,0.54,11,0.37,5,0.72,0
1111,1317752,324,0.09,1585480,,4,6,1662918.0,0.36,20,0.15,5,0.58,1
1112,2466121,338,0.46,464170,20.0,9,4,517200.0,0.75,24,0.41,3,0.69,1
1113,272409,430,0.56,736915,28.0,3,8,1596963.0,0.95,10,0.11,6,0.94,1
1114,2166716,797,0.56,1424073,9.0,5,11,1284519.0,0.93,8,0.58,1,0.25,0
1115,919598,528,0.07,1573982,18.0,4,6,930220.0,0.63,49,0.04,5,0.54,1
1116,1248591,407,0.32,488242,24.0,6,8,183683.0,0.52,24,0.53,2,,1
1117,1024371,471,0.59,412916,3.0,9,1,1363864.0,0.84,34,0.89,1,0.68,1
1118,1609933,734,0.18,228048,,6,6,532125.0,0.71,51,0.84,4,0.25,1
1119,1304454,777,0.64,1048082,28.0,3,1,,0.27,31,0.88,5,0.59,0
1120,1123548,401,0.68,1452222,30.0,4,1,1226947.0,0.84,48,,2,0.8,1
1121,1363475,823,0.88,1474663,18.0,2,8,1960220.0,,13,0.1,4,0.48,1
1122,2171900,574,0.23,421994,10.0,3,7,772291.0,0.27,0,0.13,1,0.79,1
1123,1149238,343,0.75,1667959,1.0,3,3,1033879.0,0.35,16,,3,0.36,1
1124,2078434,316,0.49,1243918,9.0,2,6,2723853.0,,24,,4,0.94,0
1125,529989,629,0.37,736268,28.0,9,9,2148164.0,0.57,58,0.97,0,0.53,0
1126,193585,796,0.15,851955,10.0,4,7,2227345.0,,7,0.05,3,0.6,1
1127,1569945,311,0.68,1161009,24.0,4,12,218168.0,0.21,4,0.36,3,0.03,1
1128,2311196,617,0.25,594279,19.0,6,3,148178.0,0.21,4,0.21,1,0.17,0
1129,259556,515,0.37,322919,15.0,3,14,58123.0,0.62,40,,1,0.63,1
1130,1725557,638,0.1,1569593,18.0,3,14,2208977.0,0.76,34,,2,0.42,0
1131,2211083,380,0.73,397139,22.0,8,13,1217309.0,,18,0.12,2,0.51,1
1132,350235,784,0.7,1028754,,5,6,2867543.0,0.13,22,0.48,0,0.06,1
1133,2273091,673,0.67,197745,10.0,3,11,,0.21,8,0.69,3,0.83,1
1134,2159021,499,0.3,1745672,13.0,1,4,938624.0,,53,0.78,7,0.78,1
1135,1351482,836,0.2,1780992,1.0,5,14,1199438.0,0.54,29,0.02,6,0.19,1
1136,692335,765,0.59,187686,22.0,1,13,2680095.0,0.51,49,0.89,0,0.63,0
1137,225766,388,0.47,1105991,27.0,4,3,715003.0,0.13,15,0.57,0,0.82,1
1138,1851240,567,0.2,1868902,4.0,5,9,1666312.0,0.76,32,0.81,6,0.64,1
1139,1134346,788,0.63,1535676,30.0,3,10,2275598.0,0.58,1,0.81,6,0.31,1
1140,1653165,837,0.89,1005230,26.0,2,2,698267.0,0.28,13,,6,0.66,0
1141,2385000,346,0.69,1877069,4.0,6,1,296956.0,0.2,45,0.11,1,0.21,1
1142,277948,587,0.68,1397764,18.0,1,14,836002.0,0.45,0,0.72,0,0.32,1
1143,1777880,315,0.86,1811085,20.0,5,2,1361621.0,0.85,25,0.16,0,0.24,1
1144,552690,700,0.22,1267192,11.0,3,7,1170642.0,0.88,57,0.85,4,0.56,1
1145,649046,385,0.53,99976,17.0,5,10,390508.0,0.64,24,0.73,6,0.11,1
1146,171959,549,0.88,475468,3.0,3,1,1754187.0,0.75,15,0.84,6,0.93,1
1147,1948792,690,0.19,315976,21.0,3,6,1769107.0,0.2,14,0.3,2,0.33,0
1148,2104109,634,0.65,1320459,16.0,3,14,36160.0,0.63,25,0.32,2,0.22,0
1149,1988756,818,0.55,261509,9.0,8,7,19156.0,0.7,46,0.67,3,0.5,1
1150,378576,436,0.55,1595541,19.0,6,9,2570348.0,0.28,43,0.03,2,0.28,1
1151,2412990,797,0.64,1919156,5.0,2,14,,0.89,15,0.73,5,0.53,1
1152,1534250,776,0.84,1862105,24.0,2,8,2770441.0,0.28,13,0.84,3,0.35,0
1153,211087,522,0.72,1617399,13.0,5,6,459822.0,0.38,28,0.42,7,0.13,1
1154,1163343,671,0.1,269526,10.0,5,3,1279802.0,0.66,23,0.76,6,0.27,1
1155,2232263,701,0.77,1997238,10.0,3,8,1814630.0,0.67,46,0.17,4,0.44,1
1156,2365603,742,0.24,1445796,28.0,8,7,1510267.0,0.73,54,0.32,2,0.03,0
1157,1646176,789,0.37,1044620,17.0,3,3,719701.0,0.2,14,0.97,4,0.77,0
1158,2036013,572,0.44,1923410,26.0,8,9,881809.0,0.86,18,0.99,2,0.62,1
1159,589792,825,0.46,1811663,22.0,3,12,305007.0,,7,0.51,2,0.6,1
1160,189353,458,0.42,88578,,1,2,,0.52,33,0.93,4,0.55,1
1161,2440227,451,0.85,664741,17.0,1,3,2162591.0,,1,0.52,0,0.59,1
1162,215318,487,0.65,1514110,23.0,4,2,645649.0,0.77,26,0.29,0,0.93,1
1163,915313,397,0.59,912147,22.0,3,13,212986.0,0.21,9,0.27,0,0.01,1
1164,1681266,430,0.09,258859,,6,1,1931184.0,0.78,34,,5,0.05,1
1165,566880,470,0.82,161435,20.0,4,4,29777.0,0.19,22,0.17,0,0.19,1
1166,920746,482,0.82,790389,11.0,5,5,420661.0,0.12,48,0.58,2,0.17,1
1167,963168,663,0.71,1250114,,9,13,198110.0,0.46,7,0.56,6,0.18,1
1168,375281,338,0.06,1980750,22.0,3,6,1033981.0,0.99,27,0.74,1,,1
1169,1550804,826,0.1,95475,8.0,1,5,414627.0,0.26,22,0.5,4,0.46,0
1170,1630415,796,0.24,896574,26.0,9,1,2803089.0,0.71,3,0.27,6,0.99,1
1171,419536,815,0.16,1839096,30.0,8,3,2375163.0,0.26,13,0.17,1,0.23,0
1172,1456002,648,0.39,1256212,24.0,9,1,690568.0,0.75,52,0.62,6,0.31,1
1173,327789,696,0.83,1252060,8.0,6,11,1694408.0,0.55,41,0.72,5,0.98,1
1174,1711729,460,0.45,1192102,21.0,3,5,1711303.0,0.71,28,0.57,1,,1
1175,987291,315,0.06,1149577,9.0,2,5,559650.0,0.28,0,0.74,7,0.47,1
1176,2372809,792,0.29,894081,21.0,9,12,,0.77,3,0.14,3,0.55,1
1177,1433743,725,0.09,242029,18.0,2,11,2410884.0,1.0,31,0.88,0,0.84,0
1178,831669,407,0.08,478733,0.0,8,13,1217933.0,0.7,32,0.58,7,0.48,1
1179,1269043,749,0.28,718516,6.0,4,6,1699547.0,0.54,48,0.13,5,0.21,1
1180,2356903,610,0.28,990568,3.0,2,8,2877597.0,0.93,25,0.46,6,0.83,0
1181,1579626,469,0.72,1648575,0.0,4,10,205827.0,,16,0.84,2,0.54,0
1182,1891093,845,0.88,1652970,14.0,1,12,,0.76,38,0.9,0,0.15,0
1183,2168163,713,0.37,1950466,7.0,3,1,342424.0,0.9,22,0.26,7,0.51,1
1184,256081,550,0.41,1581064,11.0,9,4,1461659.0,0.16,31,0.71,0,0.41,1
1185,1811909,440,0.77,1491149,21.0,1,10,2940107.0,0.51,51,0.1,1,0.88,1
1186,260078,573,0.28,267583,21.0,1,11,2050241.0,0.28,14,0.03,3,0.13,1
1187,2065631,715,0.18,413898,17.0,7,1,740045.0,0.61,12,0.56,0,0.88,0
1188,2269823,338,0.78,188286,14.0,0,9,1156245.0,0.68,59,0.69,6,0.51,1
1189,1616976,328,0.09,277189,16.0,6,11,732318.0,0.37,1,0.8,6,0.4,1
1190,1554104,776,0.58,1225055,28.0,4,7,158998.0,0.51,59,0.34,4,0.16,1
1191,2158187,617,0.53,1518919,13.0,7,7,1676079.0,0.35,18,0.01,4,0.7,1
1192,1809066,544,0.34,1234789,13.0,0,12,622995.0,0.43,23,0.48,0,0.93,0
1193,2298815,571,0.32,603172,17.0,6,5,2003011.0,0.24,44,0.02,1,0.38,1
1194,461955,739,0.71,1363428,19.0,4,7,1990094.0,0.9,23,0.09,1,0.24,1
1195,2359699,538,0.12,854807,17.0,3,12,2342999.0,0.11,10,0.33,2,0.55,1
1196,1060681,676,0.25,1637952,15.0,6,2,1276120.0,0.89,58,0.44,5,0.8,1
1197,1757618,565,0.67,1418335,0.0,9,14,976006.0,0.61,21,0.28,5,0.0,1
1198,292483,658,0.52,1470858,22.0,1,13,874168.0,0.4,14,0.58,7,0.63,1
1199,2183350,639,0.16,1798982,26.0,0,4,267614.0,0.75,9,0.06,5,0.6,0
1200,2461987,688,0.8,322158,10.0,0,14,1194601.0,0.56,40,0.14,3,0.32,1
1201,551896,302,0.38,1818361,14.0,0,14,1808516.0,0.55,26,0.7,1,0.45,1
1202,2332048,728,0.75,1495065,11.0,4,7,956011.0,0.2,59,0.14,2,0.25,1
1203,627095,441,0.72,752495,7.0,9,3,792955.0,0.45,8,0.64,4,0.79,1
1204,221295,675,0.58,1463562,,6,2,1266571.0,0.32,51,0.05,6,0.63,1
1205,893974,623,0.47,1588814,19.0,1,10,1761126.0,0.11,27,0.41,5,0.53,0
1206,1037121,445,0.88,128077,29.0,9,2,293313.0,0.42,0,0.18,4,0.39,1
1207,1206731,592,0.17,1238360,5.0,7,13,1618505.0,0.18,16,,4,0.29,1
1208,975816,731,0.67,1304352,,3,1,154062.0,0.33,30,0.57,0,0.82,1
1209,524705,698,0.21,365018,27.0,2,5,1602525.0,0.18,43,0.93,3,0.45,0
1210,2006926,643,0.34,119087,23.0,9,12,1717355.0,0.19,9,0.05,2,0.5,0
1211,1808845,439,0.31,1897305,,7,6,854032.0,0.28,36,0.42,3,0.52,1
1212,2176793,486,0.85,1863205,29.0,1,6,1676483.0,1.0,28,0.71,0,0.45,1
1213,704594,360,0.87,863560,12.0,2,9,2654525.0,0.1,17,0.46,2,,1
1214,297718,679,0.21,1691232,,2,4,706014.0,0.67,46,0.81,2,,0
1215,795263,739,0.07,793859,1.0,9,1,1447922.0,0.23,37,0.18,1,0.1,0
1216,2354664,618,0.66,1439678,4.0,0,6,133114.0,0.93,38,0.96,3,0.76,1
1217,297443,601,0.41,345064,16.0,5,5,2953718.0,0.18,48,0.39,3,0.22,1
1218,1669163,643,0.13,301514,5.0,1,10,491638.0,0.96,5,0.34,1,0.06,0
1219,523616,310,0.63,978660,1.0,0,6,2654917.0,0.65,39,0.87,7,0.8,1
1220,836976,361,0.51,192180,3.0,1,3,1887717.0,0.1,11,0.56,4,0.15,1
1221,1564447,525,0.88,834192,21.0,5,2,684076.0,0.9,52,0.52,0,0.63,1
1222,267796,452,0.24,485928,25.0,3,6,1388857.0,0.57,13,0.73,3,0.34,1
1223,1391082,609,0.39,970114,10.0,5,13,139133.0,0.34,43,0.58,1,0.13,0
1224,1140198,542,0.51,651891,7.0,8,1,2862862.0,0.79,54,,6,0.41,1
1225,848376,792,0.72,1132448,11.0,9,7,345165.0,,9,0.67,7,0.01,1
1226,848002,665,0.52,1371448,7.0,9,7,1462597.0,0.54,53,0.13,2,0.84,0
1227,1738015,629,0.57,407246,10.0,7,10,270001.0,0.38,19,0.81,5,0.51,1
1228,1729159,406,0.24,1587111,21.0,0,13,1715556.0,0.81,14,0.99,6,0.14,1
1229,1057317,525,0.77,1482769,19.0,7,7,1581041.0,0.71,30,0.38,1,0.24,1
1230,471184,517,0.41,1905591,7.0,8,12,423327.0,0.9,6,0.44,5,0.45,1
1231,1997191,805,0.17,135774,28.0,5,11,1399298.0,0.72,57,0.05,4,0.19,1
1232,1621091,558,0.61,438518,7.0,9,10,1662805.0,0.32,40,0.01,0,0.27,1
1233,818234,816,0.23,1297098,25.0,4,1,782409.0,0.94,9,0.92,5,0.53,1
1234,528480,353,0.13,1318933,29.0,5,4,1717826.0,0.19,9,0.13,7,0.83,1
1235,2279863,346,0.78,462672,16.0,5,13,,0.34,47,0.45,4,0.4,1
1236,941971,820,0.44,1976126,19.0,8,7,650332.0,0.57,38,0.82,5,0.72,1
1237,651157,398,0.69,1164518,19.0,3,11,713391.0,,27,0.89,2,,1
1238,334423,319,0.3,587977,22.0,1,9,,,29,0.52,2,0.22,1
1239,1902290,789,0.72,1656140,15.0,8,5,505350.0,0.8,36,0.57,7,0.81,1
1240,1062495,718,0.15,1608141,13.0,1,13,337164.0,0.43,54,0.67,2,0.76,0
1241,1935954,361,0.35,1621128,29.0,9,2,2763779.0,0.47,2,0.96,2,0.36,1
1242,283272,444,0.88,676256,10.0,8,7,2858214.0,0.83,49,0.6,1,0.99,1
1243,917836,515,0.72,463089,6.0,1,10,2234967.0,0.44,42,0.56,2,0.26,1
1244,1276081,302,0.47,1898058,15.0,7,1,2020880.0,0.14,14,0.01,6,0.25,1
1245,2250021,459,0.34,640504,12.0,8,7,2724915.0,0.26,20,0.08,2,0.77,1
1246,931474,419,0.79,1838380,26.0,9,6,,0.96,51,0.58,6,0.43,1
1247,1510828,388,0.51,396184,14.0,8,7,2416338.0,0.16,36,,1,0.33,1
1248,768467,628,0.69,595932,23.0,9,14,49476.0,0.42,55,0.87,2,0.18,1
1249,1288848,656,0.69,112021,,8,13,2387848.0,,11,0.98,7,0.77,1
1250,2285619,566,0.07,742485,26.0,1,10,2817754.0,0.54,3,0.53,4,,1
1251,1027844,622,0.16,510115,20.0,3,3,1487564.0,0.1,46,0.79,7,0.57,1
1252,630047,840,0.61,92291,,6,3,2009810.0,0.55,8,0.84,4,0.96,1
1253,1857923,494,0.19,478276,,1,7,2781460.0,0.45,38,0.65,3,0.32,1
1254,1257447,631,0.27,444754,30.0,0,13,1255959.0,0.97,41,0.34,4,0.22,0
1255,1089903,469,0.85,1003680,8.0,2,2,69093.0,,27,0.47,0,0.68,1
1256,278391,820,0.53,353664,2.0,3,1,2113687.0,0.42,22,0.86,0,,1
1257,1167026,762,0.69,75675,18.0,7,9,2425786.0,0.48,44,0.3,0,0.22,1
1258,1809280,339,0.52,723647,19.0,5,9,1619426.0,0.45,39,0.92,1,0.08,1
1259,2055279,836,0.52,312318,4.0,1,7,1429762.0,0.7,43,0.23,7,0.81,0
1260,257450,560,0.13,1190844,9.0,8,7,256323.0,0.29,21,0.75,4,0.98,1
1261,2419042,694,0.34,1395718,16.0,1,3,1924088.0,0.3,23,0.63,7,,0
1262,2133509,525,0.29,758672,14.0,4,10,2356068.0,0.76,50,0.75,6,0.28,1
1263,266381,423,0.38,679698,,3,2,2811047.0,0.55,57,0.44,0,1.0,1
1264,1671701,337,0.73,387369,22.0,6,11,,0.47,25,0.93,3,0.89,1
1265,1770197,627,0.37,1929822,24.0,7,7,1129250.0,0.25,29,0.63,1,0.51,0
1266,2381660,550,0.43,1445811,7.0,4,9,828894.0,0.27,32,0.29,3,,1
1267,1928226,475,0.39,362863,,9,1,920631.0,0.11,15,0.64,4,0.82,1
1268,2061221,753,0.13,179887,30.0,4,13,285291.0,0.18,21,0.29,2,0.93,0
1269,1349386,336,0.42,346063,20.0,1,14,2535896.0,,48,0.29,3,0.84,1
1270,2164484,615,0.22,1433875,,7,4,1649959.0,0.9,56,0.4,2,0.64,0
1271,1568175,413,0.21,383713,13.0,1,6,2865612.0,0.36,49,0.85,1,,0
1272,879903,339,0.13,1926336,19.0,9,7,2188077.0,0.39,42,,3,0.47,1
1273,2292866,600,0.35,1300130,27.0,5,10,,0.2,17,0.68,3,0.63,1
1274,1665536,523,0.69,1909626,,7,7,1290906.0,0.45,6,0.39,5,0.8,1
1275,1910427,617,0.28,608963,20.0,5,10,1062307.0,0.13,49,0.26,1,0.97,0
1276,274123,648,0.32,1593586,22.0,3,2,1435367.0,0.93,25,0.95,1,0.47,1
1277,1086093,414,0.6,855351,11.0,3,14,1540450.0,0.71,7,0.6,0,0.57,1
1278,1281565,622,0.22,840605,16.0,5,4,1689576.0,0.99,5,0.93,4,0.44,1
1279,328274,339,0.81,421513,16.0,3,5,265976.0,0.89,29,0.2,3,0.67,1
1280,2081760,339,0.49,862832,9.0,7,14,1605196.0,,38,0.15,7,0.63,1
1281,281373,588,0.43,231517,29.0,8,12,12467.0,0.57,22,0.86,3,,0
1282,265294,561,0.52,120305,28.0,0,1,1089601.0,0.27,31,0.68,6,0.54,1
1283,2170320,515,0.19,742924,18.0,3,1,1192755.0,0.52,21,0.19,1,0.09,1
1284,798307,446,0.57,1537606,,3,10,1045851.0,0.91,41,0.27,7,0.03,1
1285,2312878,635,0.36,522963,10.0,1,3,77994.0,0.15,42,0.8,1,0.79,0
1286,291564,467,0.81,1711655,1.0,5,10,94202.0,0.88,56,0.45,4,0.26,1
1287,1576388,391,0.19,1257610,17.0,2,3,2664921.0,0.41,44,0.67,1,0.34,0
1288,2217359,652,0.48,528108,,6,12,1647982.0,0.91,8,0.32,2,0.06,0
1289,2365167,662,0.56,1053346,11.0,4,8,1434730.0,0.95,30,0.38,2,0.18,0
1290,839944,644,0.08,644821,25.0,3,9,444854.0,0.7,6,0.99,5,0.77,1
1291,838105,469,0.36,237256,,4,14,2846139.0,0.7,8,,2,,1
1292,2139173,655,0.67,526128,26.0,7,11,160185.0,0.51,12,0.51,2,0.88,1
1293,1564466,490,0.75,1073920,19.0,2,12,2181515.0,0.85,57,0.84,4,0.4,1
1294,595101,721,0.32,940023,17.0,6,1,1958615.0,0.97,2,0.24,3,0.27,1
1295,2283783,306,0.73,1764514,,5,14,2422340.0,0.8,34,0.42,2,0.35,1
1296,1202590,432,0.87,1753924,23.0,0,11,2308179.0,0.66,32,0.62,7,0.71,1
