id,title,genre,original_language,popularity,release_date,vote_average,vote_count
361743,Top Gun: Maverick,"Action,Drama",en,7567.017,5/24/2022,8.4,1690
128,Princess Mononoke,"Adventure,Fantasy,Animation",ja,42.985,7/12/1997,8.3,6405
644479,Dedicated to my ex,"Drama,Comedy",es,12.695,11/1/2019,8.3,473
274,The Silence of the Lambs,"Crime,Drama,Thriller",en,11.372,2/1/1991,8.3,13478
25237,Come and See,"Drama,History,War",ru,12.869,7/9/1985,8.3,961
630566,Clouds,"Music,Drama,Romance",en,21.826,10/9/2020,8.3,855
207,Dead Poets Society,Drama,en,32.638,6/2/1989,8.3,9250
3082,Modern Times,"Comedy,Drama",en,15.754,2/5/1936,8.3,2993
527641,Five Feet Apart,"Romance,Drama",en,98.531,3/14/2019,8.3,4819
101,Léon: The Professional,"Crime,Drama,Action",en,55.424,9/14/1994,8.3,12278
335,Once Upon a Time in the West,"Drama,Western",it,21.526,12/21/1968,8.3,3443
556574,Hamilton,"History,Drama",en,11.644,7/3/2020,8.3,982
975,Paths of Glory,"Drama,War",en,11.774,10/25/1957,8.3,2226
618344,Justice League Dark: Apokolips War,"Animation,Action,Adventure,Fantasy,Science Fiction",en,41.778,5/5/2020,8.3,1189
105,Back to the Future,"Adventure,Comedy,Science Fiction,Family",en,54.325,7/3/1985,8.3,16765
592350,My Hero Academia: Heroes Rising,"Animation,Action,Fantasy,Adventure",ja,224.617,12/20/2019,8.3,942
447362,Life in a Year,"Drama,Romance",en,114.889,11/27/2020,8.3,1105
575813,Better Days,Drama,zh,17.871,10/25/2019,8.3,251
16672,Woman in the Dunes,"Drama,Thriller",ja,8.046,2/15/1964,8.3,292
42269,We All Loved Each Other So Much,"Drama,Comedy",it,6.594,12/21/1974,8.3,424
18148,Tokyo Story,Drama,ja,10.385,11/3/1953,8.3,769
10494,Perfect Blue,"Animation,Thriller",ja,27.325,7/25/1997,8.3,1736
10376,The Legend of 1900,"Drama,Music,Romance",it,12.788,10/28/1998,8.3,1866
28,Apocalypse Now,"Drama,War",en,27.775,8/15/1979,8.3,6618
572154,Rascal Does Not Dream of a Dreaming Girl,"Animation,Comedy,Romance,Drama,Fantasy",ja,92.432,6/15/2019,8.3,391
299534,Avengers: Endgame,"Adventure,Science Fiction,Action",en,284.068,4/24/2019,8.3,21448
29259,Le Trou,"Crime,Drama,Thriller,History",fr,9.29,3/18/1960,8.3,334
637920,Miracle in Cell No. 7,"Drama,Comedy",tr,49.021,10/10/2019,8.3,3968
265177,Mommy,Drama,fr,12.788,9/19/2014,8.3,2327
670,Oldboy,"Drama,Thriller,Mystery,Action",ko,29.817,11/21/2003,8.3,6806
537061,Steven Universe: The Movie,"Animation,Family,Fantasy,TV Movie,Science Fiction,Adventure,Music",en,58.206,9/2/2019,8.3,677
522924,The Art of Racing in the Rain,"Comedy,Drama,Romance",en,19.229,8/8/2019,8.3,1082
791373,Zack Snyder's Justice League,"Action,Adventure,Fantasy,Science Fiction",en,325.801,3/18/2021,8.3,7943
508965,Klaus,"Animation,Family,Adventure,Comedy,Fantasy",en,20.474,11/8/2019,8.3,2986
290098,The Handmaiden,"Thriller,Drama,Romance",ko,45.016,6/1/2016,8.3,2744
299536,Avengers: Infinity War,"Adventure,Action,Science Fiction",en,475.535,4/25/2018,8.3,25020
77338,The Intouchables,"Drama,Comedy",fr,86.109,11/2/2011,8.3,14800
532067,KonoSuba: God's Blessing on this Wonderful World! Legend of Crimson,"Animation,Adventure,Comedy,Fantasy",ja,132.022,8/30/2019,8.3,402
545611,Everything Everywhere All at Once,"Action,Adventure,Science Fiction",en,309.567,3/24/2022,8.3,1059
8587,The Lion King,"Family,Animation,Drama",en,204.155,6/23/1994,8.3,15531
1585,It's a Wonderful Life,"Drama,Family,Fantasy",en,32.21,12/20/1946,8.3,3359
797,Persona,Drama,sv,10.578,10/18/1966,8.3,1655
526702,Black Beauty,Drama,en,12.203,11/27/2020,8.3,268
5156,Bicycle Thieves,Drama,it,13.995,11/24/1948,8.3,1867
110420,Wolf Children,"Animation,Drama,Family,Fantasy",ja,39.225,7/21/2012,8.3,1816
476292,Maquia: When the Promised Flower Blooms,"Animation,Fantasy,Romance,Drama",ja,70.561,2/24/2018,8.3,472
24188,Il Sorpasso,"Drama,Comedy",it,7.789,12/5/1962,8.3,575
490132,Green Book,"Drama,Comedy",en,31.501,11/16/2018,8.2,9214
610892,Violet Evergarden: Eternity and the Auto Memory Doll,"Drama,Fantasy,Animation",ja,17.941,9/6/2019,8.2,256
504253,I Want to Eat Your Pancreas,"Animation,Drama,Romance,Family",ja,85.48,9/1/2018,8.2,1041
20532,Sansho the Bailiff,Drama,ja,8.669,3/31/1954,8.2,265
37257,Witness for the Prosecution,"Drama,Mystery,Crime",en,11.063,12/17/1957,8.2,1008
755812,"Miraculous World: New York, United HeroeZ","Animation,Family,Adventure,TV Movie,Fantasy,Action",fr,245.422,9/25/2020,8.2,912
664767,Mortal Kombat Legends: Scorpion's Revenge,"Animation,Action,Fantasy",en,38.476,4/12/2020,8.2,1114
663558,New Gods: Nezha Reborn,"Animation,Action,Fantasy",zh,76.935,2/6/2021,8.2,288
1398,Stalker,"Science Fiction,Drama",ru,14.5,5/25/1979,8.2,1601
422,8½,"Fantasy,Drama",it,13.697,2/14/1963,8.2,1813
10098,The Kid,"Comedy,Drama",en,12.931,1/21/1921,8.2,1609
284,The Apartment,"Comedy,Drama,Romance",en,13.421,6/21/1960,8.2,1739
823754,Bo Burnham: Inside,Comedy,en,8.717,7/22/2021,8.2,239
354912,Coco,"Family,Animation,Fantasy,Music,Comedy,Adventure",en,208.302,10/27/2017,8.2,15918
694,The Shining,"Horror,Thriller",en,63.091,5/23/1980,8.2,14638
313106,Doctor Who: The Day of the Doctor,"Science Fiction,Adventure",en,10.732,11/23/2013,8.2,653
185,A Clockwork Orange,"Science Fiction,Drama",en,36.296,12/19/1971,8.2,10807
490,The Seventh Seal,"Fantasy,Drama",sv,16.149,2/16/1957,8.2,2378
26451,Investigation of a Citizen Above Suspicion,"Drama,Thriller",it,7.337,10/16/1970,8.2,597
426,Vertigo,"Mystery,Romance,Thriller",en,20.392,5/28/1958,8.2,4663
470044,The Hate U Give,"Crime,Drama",en,21.983,10/19/2018,8.2,1794
2457,Children of Paradise,"Drama,Romance",fr,8.19,3/15/1945,8.2,299
531428,Portrait of a Lady on Fire,"Drama,Romance,History",fr,20.978,6/17/2019,8.2,1831
16869,Inglourious Basterds,"Drama,Action,Thriller,War",en,86.404,8/19/2009,8.2,18951
518068,Along with the Gods: The Last 49 Days,"Drama,Fantasy,Action",ko,32.172,8/1/2018,8.2,349
398818,Call Me by Your Name,"Romance,Drama",en,101.605,9/1/2017,8.2,10372
11,Star Wars,"Adventure,Action,Science Fiction",en,77.644,5/25/1977,8.2,17480
629,The Usual Suspects,"Drama,Crime,Thriller",en,20.782,7/19/1995,8.2,8707
98,Gladiator,"Action,Drama,Adventure",en,52.683,5/4/2000,8.2,15356
399106,Piper,"Family,Animation",en,7.741,6/16/2016,8.2,1373
1124,The Prestige,"Drama,Mystery,Science Fiction",en,32.168,10/19/2006,8.2,13217
857,Saving Private Ryan,"Drama,History,War",en,59.809,7/24/1998,8.2,13233
77,Memento,"Mystery,Thriller",en,26.409,10/11/2000,8.2,12433
11324,Shutter Island,"Drama,Thriller,Mystery",en,367.116,2/14/2010,8.2,20171
603,The Matrix,"Action,Science Fiction",en,62.628,3/30/1999,8.2,21819
620683,My Mom is a Character 3,Comedy,pt,5.769,12/26/2019,8.2,423
517814,Capernaum,Drama,ar,15.818,9/20/2018,8.2,1302
50014,The Help,Drama,en,325.877,8/9/2011,8.2,6522
324786,Hacksaw Ridge,"Drama,History,War",en,301.538,10/7/2016,8.2,11167
508442,Soul,"Animation,Family,Comedy,Fantasy,Drama",en,175.175,12/25/2020,8.2,8211
103,Taxi Driver,"Crime,Drama",en,39.307,2/9/1976,8.2,9564
406997,Wonder,"Drama,Family",en,48.155,11/13/2017,8.2,6919
872,Singin' in the Rain,"Comedy,Music,Romance,Drama",en,19.843,4/9/1952,8.2,2467
19,Metropolis,"Drama,Science Fiction",de,15.416,2/6/1927,8.2,2095
11878,Yojimbo,"Drama,Thriller",ja,15.131,4/25/1961,8.2,1067
475557,Joker,"Crime,Thriller,Drama",en,130.728,10/1/2019,8.2,20921
705,All About Eve,Drama,en,11.998,10/6/1950,8.2,1218
133919,Scenes from a Marriage,"Drama,Romance",sv,7.809,9/15/1974,8.2,256
289,Casablanca,"Drama,Romance",en,20.562,11/26/1942,8.2,4305
439,La Dolce Vita,"Comedy,Drama",it,13.097,2/5/1960,8.2,1498
400608,Bo Burnham: Make Happy,"Comedy,Music",en,5.697,6/3/2016,8.2,293
895,Andrei Rublev,"Drama,History",ru,11.765,12/16/1966,8.2,580
600354,The Father,Drama,en,22.528,12/23/2020,8.2,2190
111,Scarface,"Action,Crime,Drama",en,65.088,12/9/1983,8.2,9436
20914,My Friends,Comedy,it,4.199,10/24/1975,8.2,585
1422,The Departed,"Drama,Thriller,Crime",en,31.039,10/4/2006,8.2,12551
548,Rashomon,"Crime,Drama,Mystery",ja,13.672,8/26/1950,8.2,1676
100,"Lock, Stock and Two Smoking Barrels","Comedy,Crime",en,10.191,8/28/1998,8.2,5488
472454,Ayla: The Daughter of War,"Drama,War",tr,13.651,10/27/2017,8.2,267
606856,Togo,"Adventure,Family",en,140.122,12/20/2019,8.2,1506
996,Double Indemnity,"Crime,Drama,Mystery,Thriller",en,10.892,6/14/1944,8.2,1387
666,Central Station,Drama,pt,8.722,11/20/1998,8.2,675
992,Sherlock Jr.,"Action,Comedy,Mystery",en,10.842,4/17/1924,8.2,685
640344,Me Against You: Mr. S's Vendetta,"Comedy,Family",it,7.143,1/17/2020,8.2,451
654299,Out of the Clear Blue Sky,"Comedy,Drama,Music",es,21.381,12/24/2019,8.2,294
615457,Nobody,"Action,Crime,Thriller",en,181.22,3/18/2021,8.1,4816
500,Reservoir Dogs,"Crime,Thriller",en,26.577,9/2/1992,8.1,12060
68718,Django Unchained,"Drama,Western",en,66.924,12/25/2012,8.2,22784
831827,Far From the Tree,"Animation,Family",en,94.009,11/24/2021,8.1,287
55823,The Great War,"Drama,Comedy,War",it,7.75,10/28/1959,8.1,294
337404,Cruella,"Comedy,Crime",en,309.589,5/26/2021,8.1,7282
600,Full Metal Jacket,"Drama,War",en,33.082,6/26/1987,8.1,8651
489,Good Will Hunting,Drama,en,75.319,12/5/1997,8.1,9793
239,Some Like It Hot,"Comedy,Music,Romance,Crime",en,18.609,3/19/1959,8.1,2764
935,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,"Drama,Comedy,War",en,20.98,1/29/1964,8.1,4556
614,Wild Strawberries,Drama,sv,11.212,12/26/1957,8.1,1264
348,Alien,"Horror,Science Fiction",en,56.013,5/25/1979,8.1,11835
785534,Paper Lives,Drama,tr,27.235,3/12/2021,8.1,295
411088,The Invisible Guest,"Drama,Mystery,Thriller",es,40.228,1/6/2017,8.1,3776
655,"Paris, Texas",Drama,en,13.936,8/23/1984,8.1,1294
638507,How to Train Your Dragon: Homecoming,"Animation,Fantasy,Adventure,Action,Family",en,66.113,10/25/2019,8.1,703
9764,Dersu Uzala,"Action,Adventure,Drama",ru,10.129,8/2/1975,8.1,359
5801,Pather Panchali,Drama,bn,10.311,8/26/1955,8.1,277
149871,The Tale of The Princess Kaguya,"Animation,Drama,Fantasy",ja,15.807,11/23/2013,8.1,1352
17663,Anne of Green Gables,"Family,Drama",en,17.847,12/1/1985,8.1,200
12445,Harry Potter and the Deathly Hallows: Part 2,"Fantasy,Adventure",en,290.891,7/7/2011,8.1,17487
92060,Michael Jackson's Thriller,"Horror,Music",en,10.247,11/14/1983,8.1,442
24382,Big Deal on Madonna Street,"Comedy,Crime",it,7.869,7/26/1958,8.1,571
37165,The Truman Show,"Comedy,Drama",en,45.536,6/4/1998,8.1,14986
3780,Red Beard,Drama,ja,8.918,4/3/1965,8.1,242
832,M,"Drama,Action,Thriller,Crime",de,9.937,5/11/1931,8.1,1630
550776,Believe Me: The Abduction of Lisa McVey,"Drama,TV Movie",en,38.786,9/30/2018,8.1,416
843,In the Mood for Love,"Drama,Romance",cn,17.909,9/29/2000,8.1,1920
46738,Incendies,"Drama,War,Mystery",fr,15.385,9/4/2010,8.1,1956
42229,A Special Day,"Drama,Romance",it,6.666,8/11/1977,8.1,524
38288,I corti,Comedy,it,4.424,1/1/1996,8.1,327
7345,There Will Be Blood,Drama,en,19.484,12/26/2007,8.1,5220
529531,Hannah Gadsby: Nanette,Comedy,en,6.355,6/19/2018,8.1,226
38,Eternal Sunshine of the Spotless Mind,"Science Fiction,Drama,Romance",en,31.087,3/19/2004,8.1,12443
843906,Straight Outta Nowhere: Scooby-Doo! Meets Courage the Cowardly Dog,"Animation,Comedy,Mystery,Family,Fantasy",en,133.638,9/14/2021,8.1,304
103663,The Hunt,Drama,da,20.223,10/25/2012,8.1,3134
359940,"Three Billboards Outside Ebbing, Missouri","Crime,Drama",en,20.944,12/1/2017,8.1,8629
334543,Lion,Drama,en,25.744,1/20/2016,8.1,5761
652722,In the Arms of an Assassin,"Romance,Thriller",es,13.589,12/6/2019,8.1,295
14696,Ugetsu,"Fantasy,Drama,Mystery",ja,9.058,3/26/1953,8.1,412
574074,Kitbull,"Animation,Family,Drama",en,6.404,1/18/2019,8.1,265
11659,The Best of Youth,"Drama,History,Romance",it,6.708,6/22/2003,8.1,429
55960,"Toto, Peppino, and the Hussy","Comedy,Romance",it,5.38,8/23/1956,8.1,280
780,The Passion of Joan of Arc,"Drama,History",fr,10.528,4/21/1928,8.1,674
147,The 400 Blows,Drama,fr,12.066,6/3/1959,8.1,1685
347688,Scooby-Doo! and Kiss: Rock and Roll Mystery,"Family,Animation,Comedy",en,18.978,7/10/2015,8.1,228
406,La Haine,Drama,fr,16.787,5/31/1995,8.1,3054
449176,"Love, Simon","Comedy,Drama,Romance",en,32.996,2/16/2018,8.1,5423
387,Das Boot,"Drama,History,War",de,17.151,9/17/1981,8.1,1697
4348,Pride & Prejudice,"Drama,Romance",en,55.534,9/16/2005,8.1,6616
1955,The Elephant Man,"Drama,History",en,14.738,10/9/1980,8.1,2715
1396,Mirror,"Drama,History",ru,11.603,3/7/1975,8.1,684
437068,A Taxi Driver,"Action,Drama,History",ko,16.223,8/2/2017,8.1,680
81481,Silenced,Drama,ko,27.784,9/22/2011,8.1,388
11645,Ran,"Action,Drama,History",ja,13.244,6/1/1985,8.1,1146
62,2001: A Space Odyssey,"Science Fiction,Mystery,Adventure",en,36.424,4/2/1968,8.1,9477
515001,Jojo Rabbit,"Comedy,War,Drama",en,34.557,10/18/2019,8.1,7588
9702,Bound by Honor,"Crime,Action,Drama,Thriller",en,81.974,2/5/1993,8.1,929
280,Terminator 2: Judgment Day,"Action,Thriller,Science Fiction",en,67.385,7/3/1991,8.1,10522
282848,Doctor Who: The Time of the Doctor,"Drama,Science Fiction,TV Movie",en,6.48,12/25/2013,8.1,248
8422,Rocco and His Brothers,"Crime,Drama",it,8.618,10/6/1960,8.1,422
8392,My Neighbor Totoro,"Fantasy,Animation,Family",ja,57.039,4/16/1988,8.1,6243
19542,The Red Shoes,"Drama,Romance",en,9.546,9/6/1948,8.1,454
20530,Late Spring,Drama,ja,8.074,9/13/1949,8.1,283
19426,Nights of Cabiria,Drama,it,10.741,10/3/1957,8.1,566
11423,Memories of Murder,"Crime,Drama,Thriller",ko,25.052,5/2/2003,8.1,2780
482321,Ron's Gone Wrong,"Animation,Science Fiction,Family,Comedy",en,224.167,10/15/2021,8.1,1335
28422,Love Exposure,"Action,Comedy,Drama,Romance",ja,10.194,1/31/2009,8.1,333
522518,A Dog's Journey,"Family,Adventure,Drama",en,61.029,5/3/2019,8.1,1130
339877,Loving Vincent,"Animation,Drama,Mystery,History",en,15.079,6/22/2017,8.1,2095
10681,WALL·E,"Animation,Family,Science Fiction",en,91.446,6/22/2008,8.1,15924
381284,Hidden Figures,"Drama,History",en,147.925,12/10/2016,8.1,7959
146233,Prisoners,"Drama,Thriller,Crime",en,43.621,9/18/2013,8.1,9409
7347,Elite Squad,"Drama,Action,Crime",pt,38.224,10/12/2007,8.1,1810
115929,Cool Kids Don't Cry,"Family,Romance,Drama",nl,10.389,2/15/2012,8.1,230
26022,My Name Is Khan,"Drama,Romance",hi,31.328,2/10/2010,8.1,1041
821,Judgment at Nuremberg,"Drama,History,War",en,12.291,12/18/1961,8.1,569
538362,On My Skin,Drama,it,9.884,9/12/2018,8.1,1735
568160,Weathering with You,"Animation,Drama,Fantasy,Romance",ja,120.378,6/19/2019,8.1,1512
522402,Finch,"Science Fiction,Drama,Adventure",en,194.632,11/4/2021,8.1,2433
264644,Room,"Drama,Thriller",en,25.256,10/16/2015,8.1,8079
120467,The Grand Budapest Hotel,"Comedy,Drama",en,24.37,2/26/2014,8.1,12464
58007,Poverty and Nobility,Comedy,it,6.194,4/17/1954,8.1,239
438695,Sing 2,"Animation,Comedy,Family,Music",en,545.619,12/1/2021,8.1,2986
400928,Gifted,"Drama,Comedy",en,51.986,4/12/2017,8.1,4444
634649,Spider-Man: No Way Home,"Action,Adventure,Science Fiction",en,1713.86,12/15/2021,8.1,14327
455661,In a Heartbeat,"Family,Animation,Romance,Comedy",en,6.147,6/1/2017,8.1,917
397567,Along with the Gods: The Two Worlds,"Drama,Fantasy,Action",ko,54.393,12/14/2017,8.1,572
582,The Lives of Others,"Drama,Thriller",de,10.703,3/15/2006,8,2951
632322,All My Life,"Romance,Drama",en,17.382,10/23/2020,8,368
9277,The Sting,"Comedy,Crime,Drama",en,12.996,12/25/1973,8,2014
595,To Kill a Mockingbird,"Crime,Drama",en,16.546,12/20/1962,8,2086
204,The Wages of Fear,"Drama,Thriller,Adventure",fr,6.469,4/22/1953,8,652
550205,Wish Dragon,"Animation,Family,Comedy,Fantasy",en,135.036,1/15/2021,8,905
20941,Innocent Voices,"Drama,War",es,28.507,1/28/2005,8,333
28978,The Circus,"Comedy,Romance",en,6.502,1/6/1928,8,587
11104,Chungking Express,"Drama,Comedy,Romance",cn,20.608,7/14/1994,8,1219
961,The General,"Action,Adventure,Comedy,Drama,War",en,11.124,12/25/1926,8,892
310569,The Second Mother,Drama,pt,7.568,6/4/2015,8,613
21634,Prayers for Bobby,"Drama,History,TV Movie",en,10.97,1/24/2009,8,460
938,For a Few Dollars More,Western,it,25.92,12/18/1965,8,3135
110416,Song of the Sea,"Family,Animation,Fantasy",en,10.578,9/6/2014,8,1131
378108,In This Corner of the World,"Drama,Animation,Romance,War,History",ja,36.278,11/12/2016,8,451
800,The Young and the Damned,"Crime,Drama",es,9.6,12/9/1950,8,359
3090,The Treasure of the Sierra Madre,"Adventure,Drama,Western",en,10.992,1/15/1948,8,899
521,Dial M for Murder,"Crime,Thriller",en,13.074,5/29/1954,8,2038
458220,Palmer,Drama,en,51.52,1/29/2021,8,832
429210,Bingo: The King of the Mornings,"Comedy,Drama",pt,5.294,8/24/2017,8,314
1059,The Hidden Fortress,"Adventure,Drama,Action,Comedy",ja,11.374,12/28/1958,8,438
776503,CODA,"Drama,Music,Romance",en,46.461,8/11/2021,8,1423
610461,"Veinteañera, Divorciada y Fantástica",Comedy,es,9.596,2/14/2020,8,364
20803,Ivan Vasilyevich Changes His Profession,"Comedy,Science Fiction",ru,8.989,9/17/1973,8,254
962,The Gold Rush,"Adventure,Comedy,Drama",en,11.942,7/12/1925,8,1211
641,Requiem for a Dream,"Crime,Drama",en,14.696,10/6/2000,8,8213
307,"Rome, Open City","Drama,History",it,9.061,10/8/1945,8,664
14,American Beauty,Drama,en,20.94,9/15/1999,8,10357
38360,The Cranes Are Flying,"Drama,Romance,War",ru,11.251,10/12/1957,8,248
106646,The Wolf of Wall Street,"Crime,Drama,Comedy",en,182.109,12/25/2013,8,20064
15,Citizen Kane,"Mystery,Drama",en,19.625,4/17/1941,8,4468
678580,El mesero,Comedy,es,70.415,7/15/2021,8,320
158445,Miracle in Cell No. 7,"Drama,Comedy",ko,16.931,1/23/2013,8,345
11778,The Deer Hunter,"Drama,War",en,15.015,3/9/1978,8,2982
15244,A Man Escaped,"Thriller,Drama,War,History",fr,13.153,11/11/1956,8,370
2517,Nobody Knows,Drama,ja,12.167,8/7/2004,8,355
279,Amadeus,"History,Music,Drama",en,19.342,9/19/1984,8,3402
315465,The Boy and the Beast,"Animation,Fantasy,Action,Adventure,Drama",ja,47.388,7/11/2015,8,1212
554596,No Manches Frida 2,Comedy,es,129.572,3/15/2019,8,710
426618,Where Hands Touch,"War,Drama,Romance",en,10.836,9/14/2018,8,452
12761,Autumn Sonata,Drama,sv,13.787,10/8/1978,8,414
673,Harry Potter and the Prisoner of Azkaban,"Adventure,Fantasy",en,269.516,5/31/2004,8,18178
1091,The Thing,"Horror,Mystery,Science Fiction",en,42.953,6/25/1982,8,5424
424694,Bohemian Rhapsody,"Music,Drama,History",en,79.323,10/24/2018,8,14853
654,On the Waterfront,"Crime,Drama",en,10.632,6/22/1954,8,1204
205596,The Imitation Game,"History,Drama,Thriller,War",en,79.903,11/14/2014,8,14808
7508,Like Stars on Earth,Drama,hi,29.107,12/21/2007,8,856
524,Casino,"Crime,Drama",en,20.493,11/22/1995,8,4582
776305,Belle,"Animation,Drama,Science Fiction,Music",ja,230.739,7/16/2021,8,383
501929,The Mitchells vs. the Machines,"Animation,Adventure,Comedy",en,35.807,4/22/2021,8,2046
28178,Hachi: A Dog's Tale,"Drama,Family",en,46.039,6/8/2009,8,5699
12104,Pink Floyd: The Wall,"Music,Drama",en,13.524,7/14/1982,8,1195
237791,The Way He Looks,"Drama,Romance",pt,8.37,3/28/2014,8,834
25376,The Secret in Their Eyes,"Crime,Drama,Mystery",es,15.563,8/13/2009,8,2034
11658,Tae Guk Gi: The Brotherhood of War,"Action,Adventure,Drama,History,War",ko,19.135,2/5/2004,8,531
488623,Forgotten,"Thriller,Mystery,Drama,Horror,Crime",ko,33.556,11/29/2017,8,673
770,Gone with the Wind,"Drama,War,Romance",en,26.427,12/15/1939,8,3309
667520,A Whisker Away,"Animation,Drama,Romance,Fantasy",ja,69.562,6/18/2020,8,1023
140420,Paperman,"Animation,Family,Romance",en,8.007,11/2/2012,8,1506
13223,Gran Torino,Drama,en,30.877,12/9/2008,8,9109
